date,country,municipality,confirmed,deaths,recovered,active,pcr,lat,long,population,km_sq,population_mne,km_sq_mne
2020-04-17,Montenegro,Herceg Novi,6,1,NA,NA,31,42.45295,18.531203,30864,235,631219,13812
2020-04-17,Montenegro,Budva,4,0,NA,NA,31,42.28639,18.84,19218,122,631219,13812
2020-04-17,Montenegro,Ulcinj,22,0,NA,NA,31,41.92936,19.22436,19921,255,631219,13812
2020-04-17,Montenegro,Danilovgrad,3,0,NA,NA,31,42.55384,19.14608,18472,501,631219,13812
2020-04-17,Montenegro,Tivat,3,0,NA,NA,31,42.43639,18.69611,14031,46,631219,13812
2020-04-17,Montenegro,Bijelo Polje,6,0,NA,NA,31,43.03834,19.74758,46051,924,631219,13812
2020-04-17,Montenegro,Nikšić,32,0,NA,NA,31,42.7731,18.94446,72443,2065,631219,13812
2020-04-17,Montenegro,Plav,4,1,NA,NA,31,42.59694,19.94556,9081,328,631219,13812
2020-04-18,Montenegro,Tuzi,36,0,NA,NA,271,42.365556,19.331389,12096,236,631219,13812
2020-04-18,Montenegro,Podgorica,160,3,NA,NA,271,42.441286,19.262892,185937,1399,631219,13812
2020-04-18,Montenegro,Bar,23,0,NA,NA,271,42.099998,19.1,42048,598,631219,13812
2020-04-18,Montenegro,Andrijevica,7,0,NA,NA,271,42.73389,19.79194,5071,283,631219,13812
2020-04-18,Montenegro,Herceg Novi,6,1,NA,NA,271,42.45295,18.531203,30864,235,631219,13812
2020-04-18,Montenegro,Budva,4,0,NA,NA,271,42.28639,18.84,19218,122,631219,13812
2020-04-18,Montenegro,Ulcinj,22,0,NA,NA,271,41.92936,19.22436,19921,255,631219,13812
2020-04-18,Montenegro,Danilovgrad,3,0,NA,NA,271,42.55384,19.14608,18472,501,631219,13812
2020-04-18,Montenegro,Tivat,3,0,NA,NA,271,42.43639,18.69611,14031,46,631219,13812
2020-04-18,Montenegro,Bijelo Polje,6,0,NA,NA,271,43.03834,19.74758,46051,924,631219,13812
2020-04-18,Montenegro,Nikšić,32,0,NA,NA,271,42.7731,18.94446,72443,2065,631219,13812
2020-04-18,Montenegro,Plav,5,1,NA,NA,271,42.59694,19.94556,9081,328,631219,13812
2020-04-19,Montenegro,Tuzi,36,0,NA,NA,260,42.365556,19.331389,12096,236,631219,13812
2020-04-19,Montenegro,Podgorica,160,3,NA,NA,260,42.441286,19.262892,185937,1399,631219,13812
